"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"butter","dried thyme","milk","orange juice","orange zest","oranges","peanut","pearl onions","shallots","shark steaks pieces","zucchini pieces",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"canned plum tomatoes","chopped fresh tarragon leaves","eggs","fish stock","ground white pepper","heavy cream","olive","onion","saffron stems","salt","shrimp","water","white bread crumbs made white bread","wonton wrappers","yolk beaten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lemon","lime","smoking wood","trout",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"butter","garlic cloves","onions","salt pepper taste","tomatoes","trout",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anchovy fillets","black olives","capers","chopped parsley","garlic cloves","italian plum tomatoes","olive","spaghetti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bean sauce","cooking","finely shredded fresh ginger roots","fish fish","maggie seasoning sauce","minced garlic","rice wine","salt pepper taste","scallions","sesame","teasponns sugar","thin sauce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bamboo shoots","chinese cabbage","cornstarch","dried black mushrooms","fish fillets","fresh ginger root","pepper","salt","sherry","smoked","stock","water","white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carrot","chinese chili suace","fish sauce","garlic","lime juice","sugar","water","white vinegar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chinese dried mushrooms soaked water minustes","chopped jalapeno","coconut milk","finely chopped green ginger","fish sauce","fresh asparagus","fresh basil leaves chopped","green curry paste","sugar","white wine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"canola","carrot","chicken stock","crab fish sauce","fresh serrano","freshly ground white pepper","kaffir lime leaves","leeks","lemon grass stalks","long galangal slices","onion","prince edward island mussels","salt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chopped garlic","cornstarch","filleted fish","flour","frying","ginger","salt pepper taste","sugar","tomato catsup","vinegar","water","wine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anchovies","blac olive pesto","capers","high quality white bread","imported canned tuna oliv","unsalted butter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bread","butter","cheddar cheese","cottage cheese","flour","melted butter","milk","paprika","tuna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cheddar cheese","cracker crumbs","cream celery soup","evaporated milk","regular milk","tuna","wide noodles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chopped celery","corn chips","hard eggs","kraft real mayonnaise","milk","stuffed green olive slices","tuna","velveeta pasteurized process cheese spread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chopped fresh thyme","freshly ground black pepper","garlic","inch thick tuna steak","navel oranges","orange juice concentrate","sauce","shiitake mushrooms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"apple juice","boiling water","chopped pecans","finely chopped celery","finely chopped unpeeled apple","lemon flavored gelatin","milk","reduced calorie mayonnaise","starkist tuna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chopped chicken","chopped green onion","chopped green pepper","corn flakes","cream mushroom soup","half half cream","melted butter","sandwich bread","sliced almonds","slightly beaten eggs","tuna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chopped green onions","cream celery soup","dried basil","finely chopped","frozen broccoli florets","pretzel twists","skim milk","uncooked wide noodles","water packed tuna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chicken stock","cloud black fungus","cornstarch paste","fish filets","fresh ginger","sesame","sherry","sugar","szechwan soybean paste","thin sauce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chicken broth","cornstarch","dark sauce","fermented black beans","minced fresh ginger","minced garlic","oyster sauce","peanut","salmon steaks","sherry","sliced green onions","vegetable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"american heart association salad herb seasoning","bottled reduced calorie italian dressing","creamette ziti","frozen snow peas","pepper","salmon","sliced green onions","yellow pepper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
